result,where,opponent,pointsFor,pointsAgainst,pointsForHalfTime,pointsAgainstHalfTime,year
won,home,Italy,16,3,3,3,1956
won,home,Italy,38,6,10,6,1957
won,home,Italy,11,3,8,3,1958
won,home,Italy,22,0,14,0,1959
won,home,Italy,26,0,18,0,1960
won,home,Italy,17,0,6,0,1961
won,home,Italy,6,3,6,3,1962
won,home,Italy,14,12,6,3,1963
won,home,Italy,12,3,6,0,1964
won,home,Italy,21,0,10,0,1965
won,home,Italy,21,0,11,0,1966
won,home,Italy,60,13,34,3,1967
won,home,Italy,34,22,10,16,1995
lost,home,Italy,32,40,13,20,1997
won,home,Italy,30,19,17,9,1997
won,home,Italy,42,31,20,17,2000
won,home,Italy,30,19,14,9,2001
won,home,Italy,33,12,19,12,2002
won,home,Italy,53,27,41,10,2003
won,home,Italy,25,0,10,0,2004
won,home,Italy,56,13,24,10,2005
won,home,Italy,37,12,8,12,2006
won,home,Italy,39,3,22,3,2007
won,home,Italy,25,13,13,6,2008
won,home,Italy,50,8,25,3,2009
won,home,Italy,46,20,22,3,2010
lost,home,Italy,21,22,8,6,2011
won,home,Italy,30,12,15,6,2012
lost,home,Italy,18,23,15,13,2013
won,home,Italy,30,10,9,3,2014
won,home,Italy,29,0,9,0,2015
won,home,Italy,32,10,15,3,2015
won,home,Italy,23,21,10,8,2016
won,home,Italy,40,18,16,11,2017
won,home,Italy,34,17,11,7,2018
won,home,Italy,25,14,10,6,2019
won,home,Italy,47,19,19,7,2019
won,home,Cote d'Iv,54,18,28,3,1995
won,home,Japan,30,18,10,7,1973
won,home,Japan,51,29,20,16,2003
won,home,Japan,47,21,25,11,2011
draw,home,Japan,23,23,13,8,2017
lost,home,Kiwis,9,14,3,8,1946
won,home,Namibia,47,13,23,13,1999
won,home,Namibia,87,10,40,3,2007
lost,home,New Zealand,8,38,3,18,1906
lost,home,New Zealand,6,30,0,17,1925
won,home,New Zealand,3,0,3,0,1954
lost,home,New Zealand,6,13,6,5,1961
lost,home,New Zealand,3,5,-,-,1961
lost,home,New Zealand,3,32,3,13,1961
lost,home,New Zealand,3,12,3,6,1964
lost,home,New Zealand,15,21,9,11,1967
lost,home,New Zealand,9,12,3,3,1968
lost,home,New Zealand,3,9,3,0,1968
lost,home,New Zealand,12,19,0,16,1968
won,home,New Zealand,13,6,10,3,1973
won,home,New Zealand,18,13,6,10,1977
lost,home,New Zealand,3,15,3,9,1977
lost,home,New Zealand,9,23,3,10,1979
won,home,New Zealand,24,19,11,7,1979
lost,home,New Zealand,9,13,6,10,1981
lost,home,New Zealand,6,18,3,9,1981
lost,home,New Zealand,9,10,3,3,1984
lost,home,New Zealand,18,31,6,16,1984
lost,home,New Zealand,9,18,6,12,1986
lost,home,New Zealand,7,19,3,6,1986
won,home,New Zealand,16,3,3,3,1986
lost,home,New Zealand,9,29,0,9,1987
lost,home,New Zealand,17,25,0,18,1989
lost,home,New Zealand,20,34,13,16,1989
lost,home,New Zealand,3,24,3,18,1990
lost,home,New Zealand,12,30,6,15,1990
won,home,New Zealand,22,8,9,3,1994
won,home,New Zealand,23,20,13,9,1994
won,home,New Zealand,22,15,17,3,1995
lost,home,New Zealand,12,37,5,20,1995
lost,home,New Zealand,7,54,0,30,1999
won,home,New Zealand,43,31,10,17,1999
lost,home,New Zealand,26,39,12,15,2000
won,home,New Zealand,42,33,26,24,2000
lost,home,New Zealand,12,37,6,17,2001
draw,home,New Zealand,20,20,10,10,2002
lost,home,New Zealand,23,31,13,19,2003
lost,home,New Zealand,13,40,6,14,2003
lost,home,New Zealand,6,45,6,19,2004
lost,home,New Zealand,3,47,3,23,2006
lost,home,New Zealand,11,23,5,16,2006
lost,home,New Zealand,11,42,3,20,2007
lost,home,New Zealand,10,61,3,30,2007
won,home,New Zealand,20,18,3,13,2007
won,home,New Zealand,27,22,17,11,2009
lost,home,New Zealand,10,14,0,8,2009
lost,home,New Zealand,12,39,12,22,2009
lost,home,New Zealand,17,37,3,19,2011
lost,home,New Zealand,7,8,0,5,2011
lost,home,New Zealand,13,23,10,17,2013
lost,home,New Zealand,0,30,0,10,2013
lost,home,New Zealand,9,24,6,8,2013
lost,home,New Zealand,19,26,9,9,2013
lost,home,New Zealand,13,62,13,29,2015
lost,home,New Zealand,19,24,6,10,2016
lost,home,New Zealand,18,38,5,31,2017
lost,home,New Zealand,11,52,11,8,2018
lost,home,New Zealand,13,26,6,21,2018
lost,home,New Zealand,14,49,14,21,2018
lost,home,NZ Maori,3,12,3,3,1926
won,home,Pacific Is,42,17,17,12,2008
won,home,Romania,61,3,19,3,1924
won,home,Romania,11,8,11,0,1938
won,home,Romania,18,15,6,9,1957
won,home,Romania,39,0,16,0,1957
lost,home,Romania,5,11,0,5,1960
draw,home,Romania,5,5,-,-,1961
lost,home,Romania,0,3,-,-,1962
draw,home,Romania,6,6,3,3,1963
won,home,Romania,9,6,3,3,1964
won,home,Romania,8,3,5,0,1965
won,home,Romania,9,3,3,3,1966
won,home,Romania,11,3,6,3,1967
lost,home,Romania,14,15,8,12,1968
won,home,Romania,14,9,6,3,1969
won,home,Romania,14,3,6,3,1970
won,home,Romania,31,12,9,9,1971
won,home,Romania,15,6,15,0,1972
won,home,Romania,7,6,3,0,1973
lost,home,Romania,10,15,6,3,1974
won,home,Romania,36,12,13,3,1975
lost,home,Romania,12,15,9,0,1976
won,home,Romania,9,6,6,0,1977
won,home,Romania,9,6,9,0,1978
won,home,Romania,30,12,3,9,1979
lost,home,Romania,0,15,-,-,1980
won,home,Romania,17,9,14,6,1981
lost,home,Romania,9,13,6,3,1982
won,home,Romania,26,15,19,9,1983
won,home,Romania,18,3,6,0,1984
won,home,Romania,25,13,11,9,1986
won,home,Romania,20,3,14,0,1986
won,home,Romania,55,12,12,12,1987
won,home,Romania,49,3,15,3,1987
won,home,Romania,16,12,6,3,1988
lost,home,Romania,6,12,0,9,1990
won,home,Romania,33,21,18,18,1991
won,home,Romania,30,3,6,0,1991
won,home,Romania,25,6,9,0,1992
won,home,Romania,37,20,16,3,1993
won,home,Romania,51,0,16,0,1993
won,home,Romania,24,15,6,12,1995
won,home,Romania,52,8,22,0,1995
won,home,Romania,64,12,26,12,1996
won,home,Romania,51,20,29,10,1997
won,home,Romania,39,3,27,3,1997
won,home,Romania,62,8,29,3,1999
won,home,Romania,67,20,29,8,2000
won,home,Romania,56,8,35,5,2003
won,home,Romania,62,14,31,6,2006
won,home,Romania,38,11,17,6,2015
won,home,Samoa,39,22,12,16,1999
won,home,Samoa,43,5,33,0,2009
won,home,Samoa,22,14,10,7,2012
won,home,Samoa,52,8,26,3,2016
lost,home,Scotland,0,27,0,11,1910
won,home,Scotland,16,15,11,8,1911
lost,home,Scotland,3,31,3,13,1912
lost,home,Scotland,3,21,3,8,1913
lost,home,Scotland,0,5,-,-,1920
won,home,Scotland,3,0,3,0,1921
draw,home,Scotland,3,3,3,3,1922
lost,home,Scotland,3,16,0,5,1923
won,home,Scotland,12,10,6,3,1924
lost,home,Scotland,4,25,4,5,1925
lost,home,Scotland,6,20,0,9,1926
lost,home,Scotland,6,23,3,20,1927
lost,home,Scotland,6,15,3,9,1928
lost,home,Scotland,3,6,3,6,1929
won,home,Scotland,7,3,3,3,1930
lost,home,Scotland,4,6,0,6,1931
won,home,Scotland,8,3,8,3,1947
lost,home,Scotland,8,9,8,3,1948
lost,home,Scotland,0,8,0,3,1949
lost,home,Scotland,5,8,0,8,1950
won,home,Scotland,14,12,6,6,1951
won,home,Scotland,13,11,8,3,1952
won,home,Scotland,11,5,6,5,1953
won,home,Scotland,3,0,-,-,1954
won,home,Scotland,15,0,9,0,1955
lost,home,Scotland,0,12,0,6,1956
lost,home,Scotland,0,6,-,-,1957
lost,home,Scotland,9,11,6,8,1958
won,home,Scotland,9,0,6,0,1959
won,home,Scotland,13,11,5,0,1960
won,home,Scotland,11,0,-,-,1961
won,home,Scotland,11,3,3,3,1962
lost,home,Scotland,6,11,6,0,1963
lost,home,Scotland,0,10,0,5,1964
won,home,Scotland,16,8,5,5,1965
draw,home,Scotland,3,3,3,3,1966
lost,home,Scotland,8,9,3,6,1967
won,home,Scotland,8,6,3,3,1968
lost,home,Scotland,3,6,0,3,1969
won,home,Scotland,11,9,11,6,1970
won,home,Scotland,13,8,3,3,1971
lost,home,Scotland,9,20,0,10,1972
won,home,Scotland,16,13,10,6,1973
lost,home,Scotland,6,19,3,9,1974
won,home,Scotland,10,9,3,3,1975
won,home,Scotland,13,6,7,3,1976
won,home,Scotland,23,3,9,3,1977
won,home,Scotland,19,16,4,13,1978
won,home,Scotland,21,17,10,10,1979
lost,home,Scotland,14,22,7,4,1980
won,home,Scotland,16,9,16,3,1981
lost,home,Scotland,7,16,7,3,1982
won,home,Scotland,19,15,15,15,1983
lost,home,Scotland,12,21,6,3,1984
won,home,Scotland,11,3,11,3,1985
lost,home,Scotland,17,18,7,12,1986
won,home,Scotland,28,22,18,7,1987
draw,home,Scotland,20,20,6,13,1987
lost,home,Scotland,12,23,6,11,1988
won,home,Scotland,19,3,6,3,1989
lost,home,Scotland,0,21,0,3,1990
won,home,Scotland,15,9,9,3,1991
lost,home,Scotland,6,10,3,4,1992
won,home,Scotland,11,3,3,3,1993
won,home,Scotland,20,12,13,9,1994
lost,home,Scotland,21,23,5,13,1995
won,home,Scotland,22,19,3,13,1995
lost,home,Scotland,14,19,8,11,1996
won,home,Scotland,47,20,26,13,1997
won,home,Scotland,51,16,22,9,1998
lost,home,Scotland,22,36,22,33,1999
won,home,Scotland,28,16,10,6,2000
won,home,Scotland,16,6,6,6,2001
won,home,Scotland,22,10,10,3,2002
won,home,Scotland,38,3,17,3,2003
won,home,Scotland,51,9,19,6,2003
won,home,Scotland,31,0,11,0,2004
won,home,Scotland,16,9,0,6,2005
lost,home,Scotland,16,20,3,13,2006
won,home,Scotland,46,19,20,14,2007
won,home,Scotland,27,6,17,6,2008
won,home,Scotland,22,13,6,3,2009
won,home,Scotland,18,9,15,6,2010
won,home,Scotland,34,21,17,7,2011
won,home,Scotland,23,17,10,10,2012
won,home,Scotland,23,16,0,6,2013
won,home,Scotland,19,17,9,14,2014
won,home,Scotland,15,8,9,8,2015
won,home,Scotland,19,16,6,9,2015
lost,home,Scotland,18,29,12,18,2016
won,home,Scotland,22,16,13,11,2017
lost,home,Scotland,26,32,20,14,2018
won,home,Scotland,27,10,10,3,2019
won,home,Scotland,32,3,20,3,2019
lost,home,Scotland,14,17,14,10,2019
lost,home,South Africa,5,38,5,11,1913
lost,home,South Africa,3,25,3,6,1952
draw,home,South Africa,3,3,3,0,1958
won,home,South Africa,9,5,3,5,1958
draw,home,South Africa,0,0,-,-,1961
won,home,South Africa,8,6,8,3,1964
lost,home,South Africa,3,26,3,18,1967
lost,home,South Africa,3,16,0,3,1967
won,home,South Africa,19,14,8,6,1967
draw,home,South Africa,6,6,3,0,1967
lost,home,South Africa,9,12,3,9,1968
lost,home,South Africa,11,16,6,3,1968
lost,home,South Africa,9,22,3,6,1971
draw,home,South Africa,8,8,3,0,1971
lost,home,South Africa,4,13,0,7,1974
lost,home,South Africa,8,10,4,3,1974
lost,home,South Africa,25,38,3,21,1975
lost,home,South Africa,18,33,15,18,1975
lost,home,South Africa,15,37,0,13,1980
lost,home,South Africa,15,20,0,13,1992
won,home,South Africa,29,16,6,6,1992
draw,home,South Africa,20,20,14,11,1993
won,home,South Africa,18,17,9,8,1993
lost,home,South Africa,15,19,6,10,1995
lost,home,South Africa,12,22,6,19,1996
lost,home,South Africa,12,13,3,10,1996
lost,home,South Africa,32,36,9,19,1997
lost,home,South Africa,10,52,3,28,1997
won,home,South Africa,32,23,16,11,2001
lost,home,South Africa,15,20,15,14,2001
won,home,South Africa,20,10,9,3,2001
won,home,South Africa,30,10,12,3,2002
draw,home,South Africa,30,30,13,13,2005
lost,home,South Africa,13,27,6,20,2005
won,home,South Africa,26,20,15,3,2005
won,home,South Africa,36,26,11,12,2006
won,home,South Africa,20,13,11,13,2009
lost,home,South Africa,17,42,10,25,2010
lost,home,South Africa,10,19,7,13,2013
lost,home,South Africa,14,37,7,16,2017
lost,home,South Africa,15,37,7,23,2017
lost,home,South Africa,12,35,9,16,2017
lost,home,South Africa,17,18,7,8,2017
lost,home,South Africa,26,29,16,9,2018
won,home,Tonga,38,10,6,0,1995
lost,home,Tonga,16,20,6,15,1999
won,home,Tonga,43,8,12,8,2005
lost,home,Tonga,14,19,6,13,2011
won,home,Tonga,38,18,21,6,2013
won,home,Tonga,23,21,17,7,2019
won,home,USA,14,5,6,5,1920
lost,home,USA,3,17,0,3,1924
won,home,USA,33,14,15,10,1976
won,home,USA,41,9,21,3,1991
won,home,USA,10,3,10,3,1991
won,home,USA,41,14,26,0,2003
won,home,USA,39,31,17,21,2004
won,home,USA,33,9,12,6,2019
lost,home,Wales,4,36,4,17,1908
lost,home,Wales,5,47,0,9,1909
lost,home,Wales,14,49,14,21,1910
lost,home,Wales,0,15,-,-,1911
lost,home,Wales,8,14,8,6,1912
lost,home,Wales,8,11,0,3,1913
lost,home,Wales,0,31,0,13,1914
lost,home,Wales,5,6,-,-,1920
lost,home,Wales,4,12,0,12,1921
lost,home,Wales,3,11,-,-,1922
lost,home,Wales,8,16,3,5,1923
lost,home,Wales,6,10,6,7,1924
lost,home,Wales,5,11,0,3,1925
lost,home,Wales,5,7,5,0,1926
lost,home,Wales,7,25,3,12,1927
won,home,Wales,8,3,0,3,1928
lost,home,Wales,3,8,0,5,1929
lost,home,Wales,0,11,0,3,1930
lost,home,Wales,3,35,0,8,1931
lost,home,Wales XV,0,8,-,-,1945
won,home,Wales XV,12,0,3,0,1946
lost,home,Wales,0,3,0,3,1947
won,home,Wales,11,3,5,0,1948
won,home,Wales,5,3,0,3,1949
lost,home,Wales,0,21,0,5,1950
won,home,Wales,8,3,0,3,1951
lost,home,Wales,5,9,5,3,1952
lost,home,Wales,3,6,0,3,1953
lost,home,Wales,13,19,5,5,1954
lost,home,Wales,11,16,0,11,1955
lost,home,Wales,3,5,-,-,1956
lost,home,Wales,13,19,3,8,1957
won,home,Wales,16,6,3,3,1958
won,home,Wales,11,3,8,3,1959
won,home,Wales,16,8,5,3,1960
won,home,Wales,8,6,3,3,1961
